Categoria,TIPO,COLORE,TOT_S,TOT_M,TOT_L,TOT_XL
Maglie,buddah,BLU-GIALLA,0,5,4,0
Maglie,buddah,GRIGIO-VIOLA,2,8,4,0
Maglie,MOSHPIT,NERA-BIANCO,4,10,8,14
Maglie,Panda,BIANCO-BLU,2,7,7,1
Maglie,Panda,BLU-BIANCO,5,10,13,4
Maglie,Ballerine,BIANCO-VIOLA,4,9,9,3
Maglie,Ballerine,GRIGIO-ROSA,5,9,8,5
Maglie,Fratelli,NERA-BIANCO,6,10,7,4
Maglie,Clown,GRIGIO-ROSSO,2,4,7,3
Maglie,Clown,GRIGIO-BLU,3,5,3,4
Old,Lis,BLU-GIALLA,0,8,6,2
Old,Durex,NERA-BIANCO,0,3,7,3
Old,Popx,NERA-BIANCO,4,13,7,5
Old,Nogeog,GRIGIO-GIALLO,0,3,3,0
Old,Nogeog,GRIGIO-BLU,0,2,3,2
Old,POLIZIA,BIANCO-BLU,0,8,5,0
Old,OASIS,NERA-BIANCO,0,0,0,0
Old,setlist24,BIANCO-NERA,1,0,1,3
Old,poplaretti,BIANCO-BLU,0,8,8,2
Old,poplaretti,BIANCO-ROSSA,5,11,9,6
Old,longsleeve,NERA-GRIGIA,0,1,2,0
Old,alien,NERA-VERDE,0,1,3,2
Felpe,Topolino,NERA-BIANCO,2,4,2,3
Felpe,Topolino,GRIGIA-NERA,3,4,1,2
Felpe,old,NERA-BIANCO,4,5,5,3
Shopper,Moshpit,NERA-BIANCO,5,0,0,0
Shopper,Moshpit,VERDE-BIANCO,18,0,0,0
Shopper,Istituzionale,VIOLA-NERA,26,0,0,0
Shopper,Istituzionale,BIANCO-NERA,18,0,0,0
